CIP_ID,Project_Name,Department,Asset_Category,Asset_Type,Phase,Phase_Status,Priority_Score,Fiscal_Year,Project_Start_Date,Project_End_Date,Capital_Cost,Operating_Cost_Annual,Funding_Availability,Primary_Funding_Source,Secondary_Funding_Source,Grant_Amount,Debt_Financing,Local_Match,Project_Manager,District_Region,Latitude,Longitude,X_Coordinate,Y_Coordinate,Description,Flood_Mitigation_Score,Sustainability_Score,Economic_Impact_Score,Social_Justice_Equity_Score,Risk_Mitigation_Score,Constructability_Score,Life_Cycle_Cost_Analysis,Benefit_Cost_Analysis,Regulatory_Compliance,Notes
CIP-0001,Water Treatment Plant Expansion,Water Utility,Water Treatment,Treatment Plant,planning,In Progress,5,FY2026,1/15/2026,12/31/2030," $12,500,000 "," $320,000 ",Yes,General Obligation Bond,State Revolving Fund (SRF), $-   ," $12,500,000 ",0,Jennifer Marsh,North District,28.61584,-81.25091,-81.25091,28.61584,Expand plant capacity from 8 MGD to 14 MGD to meet 2040 demand.,2,3,5,3,5,3,Yes,Yes,Safe Drinking Water Act,Phase 1 of 3
CIP-0002,Sanitary Sewer Rehabilitation – Zone 4,Wastewater,Collection System,Sewer Main,planning,Complete,4,FY2026,2/1/2026,11/30/2027," $3,200,000 "," $125,000 ",Yes,SRF Loan,Local Utility Revenues," $1,500,000 "," $1,700,000 ",0,Marcus Thompson,East District,28.54276,-81.19643,-81.19643,28.54276,CCTV and condition assessment of aging sewer mains.,3,3,3,3,4,4,Yes,Yes,Clean Water Act / NPDES,Phase 1 of 3
CIP-0003,WWTP Nutrient Removal Upgrade,Wastewater,Wastewater Treatment,Treatment Facility,planning,In Progress,5,FY2026,3/1/2026,6/30/2032," $18,750,000 "," $450,000 ",Yes,General Obligation Bond,SRF Loan," $3,000,000 "," $15,750,000 ",0,Sarah Kim,Central,28.53834,-81.37924,-81.37924,28.53834,Evaluate BNR alternatives to comply with tighter effluent limits.,2,3,4,3,5,3,Yes,Yes,NPDES Permit Limit,Consent order deadline 2031
CIP-0004,Main Street Corridor Reconstruction,Public Works – Roads,Transportation,Roadway,planning,Complete,4,FY2026,1/1/2026,9/30/2028," $5,600,000 "," $180,000 ",Yes,Federal Aid (STBG),Local Motor Fuel Tax," $3,360,000 "," $2,240,000 ",0,David Nguyen,Downtown District,28.54112,-81.37498,-81.37498,28.54112,"Corridor study, traffic analysis, and stakeholder outreach.",3,3,4,3,3,4,Yes,Yes,Local Ordinance / ADA,IDOT coordination required
CIP-0005,Bridge No. 14 Replacement – Oak Ave,Public Works – Roads,Transportation,Bridge,planning,Complete,5,FY2026,1/15/2026,12/31/2028," $4,100,000 "," $100,000 ",Yes,Federal Aid (BIP),County Capital Funds," $2,870,000 "," $1,230,000 ",0,Rachel Osei,West District,28.52654,-81.48922,-81.48922,28.52654,Condition assessment and type study for bridge replacement.,5,2,4,3,5,4,Yes,Yes,AASHTO / IDOT Standards,NBI rating 3 (poor)
CIP-0006,Green Infrastructure – River District CSO,Stormwater,Stormwater Management,Stormwater,planning,In Progress,4,FY2026,4/1/2026,3/31/2031," $7,800,000 "," $225,000 ",Yes,EPA Green Project Reserve,Stormwater Utility Fees," $2,000,000 "," $5,800,000 ",0,Carlos Rivera,River District,28.52987,-81.38342,-81.38342,28.52987,Evaluate distributed GI alternatives to reduce CSO volume.,5,5,3,4,4,3,Yes,Yes,CSO Long Term Control Plan,LRT Phase 1
CIP-0007,Substation 7 Modernization,Electric Utility,Electrical Infrastructure,Substation,planning,In Progress,5,FY2026,2/15/2026,9/30/2029," $9,200,000 "," $190,000 ",Yes,Revenue Bond,Utility Reserves, $-   ," $9,200,000 ",0,Lisa Park,South District,28.49268,-81.36573,-81.36573,28.49268,"Replace aging substation equipment including transformer, breakers, and SCADA.",2,3,5,2,5,4,Yes,Yes,NERC Reliability Standards,Transformer end-of-life
CIP-0008,Riverside Park Master Plan & Improvements,Parks & Recreation,Parks Infrastructure,Park,planning,Complete,3,FY2026,1/1/2026,12/31/2030," $2,850,000 "," $110,000 ",Yes,General Fund / Park District Grant,State Park Grant," $400,000 "," $2,450,000 ",0,Tom Bradley,River District,28.55582,-81.36514,-81.36514,28.55582,Master plan and community engagement for park improvements.,3,5,3,4,3,4,Yes,Yes,Local Park Ordinance,Phase 1 of 3
CIP-0009,Enterprise GIS & Asset Management System,Information Technology,Technology Infrastructure,Software / GIS,planning,Complete,4,FY2026,1/1/2026,6/30/2028," $1,950,000 "," $90,000 ",Yes,General Fund,Internal Technology Reserve, $-   ," $1,950,000 ",0,Amy Chen,All Departments,28.5382,-81.3791,-81.3791,28.5382,Enterprise GIS and CMMS integration to replace legacy systems.,1,5,4,4,3,4,Yes,Yes,Internal Operational Need,Replaces 3 legacy siloed systems
CIP-0010,Public Safety Communications Tower,Public Safety,Communications,Communications Facility,planning,In Progress,5,FY2026,3/1/2026,3/31/2029," $3,450,000 "," $120,000 ",Yes,General Obligation Bond,Homeland Security Grant," $500,000 "," $2,950,000 ",0,Chief Brian Hall,County-Wide,28.43891,-81.31642,-81.31642,28.43891,New tower for public safety communications coverage and reliability.,3,3,5,3,5,4,Yes,Yes,FCC Regulations,Replacing analog system
CIP-0011,Natural Gas Distribution Main Replacement,Gas Utility,Gas Distribution,Gas Main,planning,In Progress,4,FY2026,2/1/2026,9/30/2028," $4,600,000 "," $140,000 ",Yes,Revenue Bond,Utility Reserves, $-   ," $4,600,000 ",0,Kevin Walsh,South District,28.46853,-81.32177,-81.32177,28.46853,Replace vintage cast iron and bare steel gas mains.,3,2,4,2,5,4,Yes,Yes,PHMSA / DOT 192,DIMP priority segment
CIP-0012,Operations & Maintenance Facility Renovation,Facilities Management,Buildings & Facilities,Government Building,planning,Complete,3,FY2026,1/15/2026,6/30/2030," $6,400,000 "," $175,000 ",Yes,General Obligation Bond,Capital Improvement Fund, $-   ," $6,400,000 ",0,Patricia Moore,Central,28.54563,-81.35192,-81.35192,28.54563,Renovation of aging operations and maintenance facility.,2,3,3,3,3,4,Yes,Yes,Local Building Code / ADA,"45,000 SF existing facility"
CIP-0013,Water Main Loop – Industrial Park,Water Utility,Water Distribution,Water Main,planning,Not Started,3,FY2030,1/1/2030,12/31/2033," $5,100,000 "," $125,000 ",Yes,Revenue Bond,Developer Contributions, $-   ," $5,100,000 ",0,Jennifer Marsh,Industrial District,28.48215,-81.15284,-81.15284,28.48215,Loop water main to improve fire flow and resiliency.,5,3,5,2,4,4,Yes,Yes,Fire Flow Requirements,Tied to industrial expansion plan 2029
CIP-0014,Regional Biosolids Management Facility,Wastewater,Biosolids,Treatment Facility,planning,Not Started,5,FY2029,1/1/2029,12/31/2038," $42,000,000 "," $900,000 ",Yes,SRF Loan / Revenue Bond,Participating Utility Contributions," $5,000,000 "," $37,000,000 ",0,Sarah Kim,Regional,28.61134,-81.21055,-81.21055,28.61134,Regional biosolids processing facility for multiple utilities.,2,4,5,3,5,3,Yes,Yes,40 CFR Part 503,Involves 4 neighboring utilities
CIP-0015,Smart Grid AMI Rollout – Full Territory,Electric Utility,Electrical Infrastructure,Smart Grid / AMI,planning,Not Started,3,FY2027,1/1/2027,6/30/2031," $8,300,000 "," $200,000 ",Yes,Revenue Bond,State Energy Efficiency Grant, $-   ," $8,300,000 ",0,Lisa Park,All Districts,28.55691,-81.29287,-81.29287,28.55691,AMI rollout with communications network and billing integration.,1,5,4,4,3,4,Yes,Yes,State Energy Efficiency Mandate,"~22,000 meters"
CIP-0016,Wastewater Pump Station 12 Upgrade,Wastewater,Pump Station,Pump Station,design,In Progress,4,FY2027,5/1/2027,12/31/2029," $5,200,000 "," $155,000 ",Yes,SRF Loan,Local Utility Revenues," $1,000,000 "," $4,200,000 ",0,Marcus Thompson,West District,28.4922,-81.2946,-81.2946,28.4922,"Upgrade pumps, controls, standby power, and wet well improvements.",3,3,4,3,5,4,Yes,Yes,NPDES Permit / Reliability,Backup generator included
CIP-0017,Downtown Flood Control Improvements,Stormwater,Flood Control,Drainage Infrastructure,design,In Progress,5,FY2027,6/1/2027,12/31/2032," $9,800,000 "," $240,000 ",Yes,Federal Grant,Stormwater Utility Fees," $2,500,000 "," $7,300,000 ",0,Carlos Rivera,Downtown District,28.54178,-81.37821,-81.37821,28.54178,"Storm sewer capacity upgrades, detention, and inlet improvements.",5,4,4,5,5,3,Yes,Yes,Floodplain / Stormwater Standards,High-visibility project
CIP-0018,Vehicle Fleet Electrification Phase 1,Fleet / General Services,Fleet,Vehicles and Charging,design,Not Started,3,FY2028,1/1/2028,12/31/2032," $6,800,000 "," $180,000 ",Yes,State Energy Grant,General Fund," $1,200,000 "," $5,600,000 ",0,Amy Chen,All Departments,28.54022,-81.37111,-81.37111,28.54022,Replace light-duty fleet with EVs and install charging infrastructure.,2,5,4,4,3,4,Yes,Yes,State Clean Energy Program,Pilot phase
CIP-0019,Detention Basin Rehabilitation – North Basin,Stormwater,Flood Control,Detention Basin,construction,Not Started,4,FY2029,1/1/2029,12/31/2031," $3,400,000 "," $90,000 ",Yes,General Fund,Stormwater Utility Fees, $-   ," $3,400,000 ",0,Carlos Rivera,North District,28.60473,-81.27054,-81.27054,28.60473,"Regrade basin, repair outlet structure, and improve overflow protection.",5,4,3,3,4,4,Yes,Yes,Flood Mitigation Ordinance,Erosion control included
CIP-0020,Library Branch Renovation and Expansion,Facilities Management,Buildings & Facilities,Public Building,construction,Not Started,3,FY2031,1/1/2031,12/31/2035," $14,500,000 "," $260,000 ",Yes,General Obligation Bond,State Cultural Grant," $3,000,000 "," $11,500,000 ",0,Patricia Moore,Central,28.55143,-81.34926,-81.34926,28.55143,Renovate and expand branch library for community use and accessibility.,2,4,4,5,3,4,Yes,Yes,Building Code / ADA / Fire Code,Includes community meeting space
